school ,id,H22,H23,H24,H25,H26,H27,H28,H29,H30,R01
久喜小学校,2,500,475,443,404,408,419,425,468,464,490
太田小学校,4,605,565,559,532,519,500,479,488,461,475
江面第一小学校,13,224,214,218,197,192,183,176,169,178,175
江面第二小学校,22,83,78,68,66,63,60,60,59,54,48
清久小学校,14,181,181,192,180,181,170,172,158,149,148
本町小学校,6,430,412,386,373,351,340,315,307,279,278
青葉小学校,19,355,346,353,325,326,317,318,293,284,265
青毛小学校,18,438,429,429,416,409,408,375,357,352,331
久喜東小学校,3,438,412,401,393,394,399,394,404,412,431
久喜北小学校,1,362,333,338,316,297,273,260,249,224,198
菖蒲小学校,16,246,235,226,213,207,196,210,209,212,202
小林小学校,5,118,121,110,114,117,120,118,113,110,102
三箇小学校,21,215,206,206,205,199,196,186,189,186,178
栢間小学校,11,139,133,139,137,132,132,121,113,108,104
菖蒲東小学校,17,193,208,204,200,188,212,213,225,237,249
栗橋西小学校,10,177,167,162,150,144,148,145,132,128,141
栗橋南小学校,8,733,714,672,644,602,581,562,538,515,523
栗橋小学校,9,642,642,647,663,666,659,631,636,609,609
鷲宮小学校,20,364,333,318,307,299,282,279,282,304,289
桜田小学校,12,422,446,482,515,561,610,709,736,805,808
上内小学校,0,149,142,119,108,98,96,91,87,83,66
砂原小学校,15,389,402,421,439,436,440,449,448,430,421
東鷲宮小学校,7,498,546,588,612,651,643,661,638,632,613
